duplicate_group_id,duplicate_type,doc_id,file_name,hash,similarity,doc_id_1,doc_id_2
1,exact,DOC0005,Ahumuza BIBM_2023 (1).pdf,c20f154404f514eab5c5c73881fe5d44033f74e0696577c8689cf9d0e5fc8136,1.0,,
1,exact,DOC0006,Ahumuza BIBM_2023.pdf,c20f154404f514eab5c5c73881fe5d44033f74e0696577c8689cf9d0e5fc8136,1.0,,
2,exact,DOC0062,DSC3114_Course_Outline - Copy.pdf,8436ea37bd0b6ff8b44e94e867a771cba63677fd6811ebefd0a1196ae7df7a83,1.0,,
2,exact,DOC0063,DSC3114_Course_Outline.pdf,8436ea37bd0b6ff8b44e94e867a771cba63677fd6811ebefd0a1196ae7df7a83,1.0,,
3,exact,DOC0113,NABAKENI S_BSES_2023 (1).pdf,217001e7ddbc10b8f3e67d4bc1c2d4844054425540c13ef5926e66794d2c13ec,1.0,,
3,exact,DOC0114,NABAKENI S_BSES_2023.pdf,217001e7ddbc10b8f3e67d4bc1c2d4844054425540c13ef5926e66794d2c13ec,1.0,,
1,near,,,,1.0,DOC0005,DOC0006
2,near,,,,0.966011720651385,DOC0009,DOC0010
3,near,,,,0.9921535158302256,DOC0111,DOC0168
4,near,,,,1.0000000000000002,DOC0113,DOC0114
